Climb name,Grade,Style,Partner(s),Notes,Date,Crag name
Jason's Follie,E3 5c **,Lead O/S,andyinglis,Scarier than I thought it'd be,17-Jul-17,Rosehearty
Shapeshifter Direct,E5 6a *,Lead RP,andyinglis,Had seconded before,17-Jul-17,Rosehearty
Stone River,E2 5b *,2nd &beta;,andyinglis,Weird 'mountaineering' start into a good crack,17-Jul-17,Rosehearty
Rock Lobster,E3 5c **,Lead Flash,andyinglis,,16-Jul-17,Brown Crag
Spanked Roof Monkey,E4 6a **,Lead O/S,andyinglis,,16-Jul-17,Johns heugh
Jaded Ledge Lizard,E4 5c **,Lead O/S,andyinglis,,16-Jul-17,Johns heugh
The Dirty Doos'en,E2 5b *,Lead O/S,andyinglis,'exciting' climbing,16-Jul-17,Johns heugh
Pump Junkie,E3 5c *,Lead Flash,andyinglis,seconded Andy then led this plus the spanked monkey finish,16-Jul-17,Johns heugh
Eagle Ridge (Summer),S  ***,AltLd rpt,emilyeadie,,08-Jul-17,Lochnagar
Living Through the Lambada,E2 5c **,Lead O/S,andyinglis,,02-Jul-17,Rosehearty
Joined at the Hip,E3 5c *,2nd &beta;,andyinglis,,02-Jul-17,Rosehearty
Blood from a Stone,E5 6a **,2nd &beta;,andyinglis,"Good route, go for the lead next time!",02-Jul-17,Rosehearty
Cocaine,E4 6a ***,Lead O/S,andyinglis,,02-Jul-17,Rosehearty
The Essential,E3 5c ***,Lead O/S,andyinglis,,02-Jul-17,Rosehearty
Shapeshifter Direct,E5 6a *,2nd &beta;,andyinglis,Think this is what we did,02-Jul-17,Rosehearty
The Traverse,f7A  **,Sent x,,,10-Jun-17,Boltsheugh
The Joker,7b  **,Lead O/S,emilyeadie,,29-May-17,Goat Crag
The Penguin,7b  *,Lead O/S,emilyeadie,,29-May-17,Goat Crag
Between the Monsoons,6c+  **,Lead O/S,emilyeadie,,29-May-17,Goat Crag
Caberfeidh,6b  **,Lead O/S,emilyeadie,,29-May-17,Goat Crag
Batman and Robin,7b  *,Lead O/S,emilyeadie,,28-May-17,Goat Crag
Bamboozle,6c+  **,Lead O/S,emilyeadie,,28-May-17,Goat Crag
Hydrotherapy,6c+  ***,Lead O/S,emilyeadie,,28-May-17,Goat Crag
Twitching Twister,E3 6a **,Lead O/S,emilyeadie,"Committing moves above good gear, then fiddly to get more gear in before easier ground",27-May-17,Ardmair Crags
Gravity's Rainbow,E1 5b ***,2nd O/S,SUMC young team,,27-May-17,Ardmair Crags
Dangerous Dancer,E3 6a ***,2nd O/S,SUMC young team,,27-May-17,Ardmair Crags
Monkey Man,E3 5c ***,Lead O/S,SUMC young team,,26-May-17,Sheigra Sea Cliffs
Geriatrics,E2 5b ***,Lead O/S,SUMC young team,,26-May-17,Sheigra Sea Cliffs
Dolphins and Whales,E4 6a ***,Lead O/S,SUMC young team,,26-May-17,Sheigra Sea Cliffs
Presumption,E1 5b ***,2nd O/S,SUMC young team,,26-May-17,Sheigra Sea Cliffs
Jack the Ripper,E1 5b ***,Lead O/S,"SUMC young team, emilyeadie",had done before but great to go back and do again now feeling more confident of gear. ,25-May-17,Stac Pollaidh
Mid Flight Crisis,E4 6a ***,Lead O/S,SUMC young team,"did as one pitch with one rack of nuts and one rack of cams = run out. Amazing climbing finishing in and amazing crack, ended up being about a 50-55m pitch.",25-May-17,Stac Pollaidh
Expecting to Fly,E4 6a ***,Lead O/S,SUMC young team,ended up finishing up a damp walking on air by mistake. need to go back and finish the proper line. The ending i took seemed logical at the time and still took E4 climbing,25-May-17,Stac Pollaidh
The Screamer,E4 6a ***,Lead O/S,SUMC young team,,24-May-17,Reiff - Rubha Coigeach
The Gift,E5 6a ***,Lead O/S,SUMC young team,"first E5, pretty chuffed to get it. Such an ace line!",24-May-17,Reiff - Rubha Coigeach
Losgaidh,E3 5c ***,Lead O/S,SUMC young team,,24-May-17,Reiff - Rubha Coigeach
Cyclops,E2 5c ***,Lead O/S,SUMC young team,"pretty soft for E2 I'd say, or maybe it just suits me really well. Another stunning arete climb",24-May-17,Reiff - Rubha Coigeach
The Quickening,E5 6a ***,Lead O/S,SUMC young team,really physical climbing with good gear. Got confused at the ending as it says go under the roof and there were 2 roofs to go under. I followed what seemed the logical line and took the fault line until the slab,24-May-17,Reiff - Rubha Coigeach
The Executioner,E2 5c ***,Lead O/S,SUMC young team,,24-May-17,Reiff - An Stiuir
Original Route,VS 5a ***,Lead O/S,emilyeadie,good to go back again and do this classic line. Went a bit off route and Emily had to fight off a gull (sorry),22-May-17,Old Man of Stoer
Diamond Face Route,E1 5b ***,Lead O/S,"emilyeadie, emilyeadie",better climbing than the original route and a more direct line. ,22-May-17,Old Man of Stoer
Seventh Aardvark,7b  **,Lead RP,DavidMcK,,08-May-17,Malham Cove
Seventh Dragon,7b+  **,Lead RP,DavidMcK,Good link up,08-May-17,Malham Cove
Bolt Revolt,7a  *,Lead O/S,DavidMcK,,08-May-17,Malham Cove
Yosemite Wall,7a+  ***,Lead Flash,DavidMcK,,07-May-17,Malham Cove
Space Race,7b+  ***,Lead RP,DavidMcK,2nd go. Fun varied climbing,07-May-17,Malham Cove
Free and Even Easier,7a+  **,Lead O/S,DavidMcK,,07-May-17,Malham Cove
Lady Jane,E2 5b ***,Lead O/S,DavidMcK,,06-May-17,Aonach Dubh
Crocodile,E3 6a ***,Lead O/S,DavidMcK,,06-May-17,Aonach Dubh
Spacewalk,E5 6b **,Lead dnf,DavidMcK,"thought i was on crocodile, suddenly became very clear is was now with marginal gear behind hollow flakes and pulling very hard moves",06-May-17,Aonach Dubh
Whither Whether,VS 4b ***,Lead O/S,emilyeadie,windy and cold,03-May-17,The Cobbler (Ben Arthur)
Whether Wall,VS 4c **,Lead O/S,emilyeadie,windy and cold,03-May-17,The Cobbler (Ben Arthur)
60 Minute Mullet,f7A+  ***,Sent x,SUMC young team,,01-May-17,Mini Magic Wood
Médecine Douce,6c+  ***,Lead O/S,DavidMcK,,??/May/17,Ceuse (Céüse)
Melody Nelson,7a+  ***,Lead O/S,DavidMcK,,??/May/17,Ceuse (Céüse)
La Javanaise,7a  ***,Lead RP,DavidMcK,,??/May/17,Ceuse (Céüse)
Marylou,6b  ***,Lead O/S,DavidMcK,,??/May/17,Ceuse (Céüse)
Gelati Dominiti,7a  ***,Lead Flash,DavidMcK,,??/May/17,Ceuse (Céüse)
Bibendum,7b+  ***,Lead O/S,DavidMcK,,??/May/17,Ceuse (Céüse)
Ananda,7a  ***,Lead rpt,DavidMcK,,??/May/17,Ceuse (Céüse)
Saint Georges Picos,7a  ***,Lead rpt,DavidMcK,,??/May/17,Ceuse (Céüse)
Lapinerie,7b  ***,Lead rpt,DavidMcK,,??/May/17,Ceuse (Céüse)
Omerta,7c  ***,Lead RP,emilyeadie,"Came off the top out 2 years ago, came back to finish it off!! First move felt much easier than when i was last trying it. Grade is tricky as it's a 6c boulder to a 7a route",28-Apr-17,Dumbarton Rock
Head Butt,f7A  ,Sent Flash,emilyeadie,good fun!,28-Apr-17,Dumbarton Rock
Wally 1,E2 5c ***,Lead O/S,"Liam, Hugh Simons","Good climbing, good gear",26-Apr-17,Ratho Quarry
Bolts near Oroborous Eliminate,7b  ,Lead O/S,"Liam, Hugh Simons","Putting draws in and everything. Good climb but only hard bit is the middle, rest is fairly straight forward.
More of a dead point than a 'desperate Dyno' (I'm a small guy)",26-Apr-17,Ratho Quarry
1990  Traverse,f7B  *,Sent x,,good amount of moves on nice holds. good problem! ,25-Apr-17,Dumbarton Rock
Tower Ridge,IV 3 ***,AltLd O/S,"emilyeadie, emilyeadie",,25-Mar-17,Ben Nevis
The Pillar,E2 5b ***,Lead O/S,emilyeadie,glad to tick this classic,??/Mar/17,Diabaig
Route Two,HVS 5a ***,Lead O/S,emilyeadie,"felt hard for the grade! never felt 100% secure the whole way, still an enjoyable climb",??/Mar/17,Diabaig
Crack of Ages,E2 5b **,Lead O/S,emilyeadie,,??/Mar/17,Seana Mheallan
Fish and Chips,E1 5b **,Lead O/S,emilyeadie,,??/Mar/17,Seana Mheallan
Unmasked,HS 4b **,Lead O/S,emilyeadie,,??/Mar/17,Seana Mheallan
Skate,HVS 5b *,Lead O/S,emilyeadie,,??/Mar/17,Seana Mheallan
Hadrian's Wall,E1 5b **,Lead O/S,emilyeadie,,??/Mar/17,Seana Mheallan
Skye and Kyle against Trugs,HVS 5a *,Lead O/S,emilyeadie,,??/Mar/17,Seana Mheallan
Fleeced,HS 4c *,Lead O/S,emilyeadie,,??/Mar/17,Seana Mheallan
East Face Arete,f4  ,Sent O/S,SUMC young team,,??/Mar/17,Torridon Celtic Jumble
The Ramp,f4  *,Sent O/S,SUMC young team,,??/Mar/17,Torridon Celtic Jumble
Hanging Arete,f6A+  **,Sent x,SUMC young team,,??/Mar/17,Torridon Celtic Jumble
Celtic Knot,f6A  **,Sent Flash,SUMC young team,,??/Mar/17,Torridon Celtic Jumble
Squelch,f6C  ***,Sent x,SUMC young team,,??/Mar/17,Torridon Celtic Jumble
Match if you are weak,6c+  **,Lead Flash,SUMC young team,,??/Mar/17,Moy Rock (Dingwall)
Little Teaser,6b+  ***,Lead Flash,SUMC young team,,??/Mar/17,Moy Rock (Dingwall)
The Seer left hand continuation,7b  ,Lead RP,SUMC young team,fun techy slab then fun juggy overhang. enjoyable climb,??/Mar/17,Moy Rock (Dingwall)
Salamander Gully,III 4 **,AltLd O/S,mim tiller,"Great climb, quite lean and wasn't expecting to do it so didn't have screws. ",14-Jan-17,Creag Coire an Dothaidh
B.O. Buttress,III 3 *,AltLd O/S,mim tiller,"Mixed in the sense of a mix of turf and powder. Not that good a climb, thankfully it was ace weather",14-Jan-17,Creag Coire an Dothaidh
Honeypot,IV 6 **,Lead rpt,DavidMcK,Lead the same pitches but as fun as always. First pitch was a bit sketch with all the verglass,05-Jan-17,Cairn Gorm - Stob Coire an t-Sneachda
The Message,IV 6 ***,Lead O/S,DavidMcK,"Lead the corner pitch. Super fun, well protected and sinker hooks",05-Jan-17,Cairn Gorm - Stob Coire an t-Sneachda
Curved Ridge (Summer),M  ***,Solo O/S,Hugh Simons,"Unbelievably warm for the time of year, just a t shirt and shoftshell and still sweating away. Cool little route",18-Dec-16,Buachaille Etive Mor
Bloodline,M10  **,Lead Flash,SUMC young team,So fucking hungover,13-Nov-16,The Works
High Pitched Scream,7a+  ***,Lead Flash,"emilyeadie, DavidMcK",,06-Nov-16,Weem Crags
The Screaming Weem,7b  ***,Lead RP,"emilyeadie, DavidMcK",,06-Nov-16,Weem Crags
The Last Temptation,E2 5c **,Lead O/S,"emilyeadie, DavidMcK",,06-Nov-16,Weem Crags
The End of Silence,7b  **,Lead Flash,"emilyeadie, DavidMcK",,06-Nov-16,Weem Crags
Benny's Groove,2a  ,AltLd dog,Stefano Garlicki,"Nails. climbed to the second bolt, 1 fall. Stefano led to the top",02-Nov-16,Benny Beg
The Chopping Block,7b  **,Lead O/S,DavidMcK,"Draws in and first climb of the day, was going well until I cut my finger on vibe heads!",02-Oct-16,Polney Crag (Craig a Barns)
Old Spice,f6C  ,Sent Flash,,,17-Sep-16,Carrock Fell crag
Badger Attack,f6C  **,Sent Flash,,,17-Sep-16,Carrock Fell crag
Power Pinch,f7B  **,Sent rpt,,,16-Sep-16,The Bowderstone
Ears of Perception,f7B  **,Sent rpt,,,16-Sep-16,The Bowderstone
Silk Teddies,7c  *,Lead RP,,Now for the purse!,11-Sep-16,"Dunkeld, Cave Crag"
The Pain,f7A  ***,Sent x,,"Don't know why people are sandbagging it, seemed 7a to me",04-Sep-16,Portlethen (Craigmaroinn)
The Neuk,f6C+  **,Sent x,,Think i did this wrong as i found it desperate!,04-Sep-16,Portlethen (Craigmaroinn)
The True Prow,f7A  ***,Sent x,,,04-Sep-16,Portlethen (Craigmaroinn)
The Pit,f7A  ***,Sent rpt,,,04-Sep-16,Portlethen (Craigmaroinn)
Clash Arete,f7A+  ***,Sent x,,Took a while to get beta then did in rain.,02-Sep-16,Clashfarquhar
Firebird,f6B  *,Sent Flash,,,27-Aug-16,Pow Kebbuck Cave (AKA Sharmasheugh)
Blanches Fesses,7c  ***,Lead dog,,2 cruxes separated by easier climbing. Reachy.,??/Aug/16,Ceuse (Céüse)
Le Privilège du Serpent,7c+  ***,Lead dog,,sustained climb to a reachy crux top,??/Aug/16,Ceuse (Céüse)
Ananda,7a  ***,Lead O/S,,"jug jug jug, very un scottish",??/Aug/16,Ceuse (Céüse)
Les Sales Blagues à Nanard,6c  *,Lead O/S,,gets the sun early,??/Aug/16,Ceuse (Céüse)
Berlin,7c  ***,Lead dog,,"polished, but that only makes it more techy! Good climbing, got very dark though.",??/Aug/16,Ceuse (Céüse)
Makach Walou,7c+  **,Lead dog,,Sustained excellent climbing!! should have tried it more but got distracted by other good routes. Really sustained and easy to read.,??/Aug/16,Ceuse (Céüse)
Queue de Rat,7b+  ***,Lead dog,,dam clipping that anchor is hard! one crux fairly low then sustained climbing,??/Aug/16,Ceuse (Céüse)
Nitassinan,7a  ***,Lead O/S,,"Hard start but doesn't get easy, just a bit easier.",??/Aug/16,Ceuse (Céüse)
Saint Georges Picos,7a  ***,Lead Flash,,"did it first time but already had done the start. Hard start then easy climbing, a lot more Scottish!",??/Aug/16,Ceuse (Céüse)
J'aime Lolo,7a  **,Lead RP,,"fell off the start once, but got straight back on. Doesn't get easy like it's friend to the left",??/Aug/16,Ceuse (Céüse)
Changement de Look,7b+  ***,Lead dog,,"One to go back for, only gave it one burn but is really fun!",??/Aug/16,Ceuse (Céüse)
Angel Dust,7a+  ***,Lead O/S,,"Probably my highlight of the trip. Got on last day and pure onsight, knew nothing and putting draws in. Felt like i was about to come off all the way up to the chains",??/Aug/16,Ceuse (Céüse)
Harley Davidson,6b+  ***,Lead O/S,,not a give over,??/Aug/16,Ceuse (Céüse)
Les Sucettes à L'anis,6a  **,Lead O/S,,nice position,??/Aug/16,Ceuse (Céüse)
Lapinerie,7b  ***,Lead RP,,"Really wanted to flash but came off the jump, got it second go though. Awesome route, great climbing throughout.",??/Aug/16,Ceuse (Céüse)
Mâchoire d'âne,7b+  ***,Lead dog,,"found the second boulder very tricky, not so hard but tricky. Given 7c now, and rightly so!",??/Aug/16,Ceuse (Céüse)
Au Sud de Nulle Part,7b+  ***,Lead Flash,,Hardest Flash to date! and basically an onsight... Given 7b now. ,??/Aug/16,Ceuse (Céüse)
Pourquoi pas?,7a+  ***,Lead O/S,,Fun middle; a bit run out and techy,??/Aug/16,Ceuse (Céüse)
Le Coeur des Hommes,7a+  ***,Lead dog,,"Tried at the end of session, should have left for later. Tricky middle section.",??/Aug/16,Ceuse (Céüse)
2001 - L'odyssée du Grimpeur,7b  ***,Lead dog,,"First route at Ceuse as it was all i could get a belay for, and nearly onsighted it, just one fall where i missed a jug! ",??/Aug/16,Ceuse (Céüse)
Noir sur Noir,7a+  ***,Lead O/S,,Crimpy and fun,??/Aug/16,Ceuse (Céüse)
100% Collègue,7a+  ***,Lead O/S,,"Really quite easy, awesome jug climbing. long",??/Aug/16,Ceuse (Céüse)
Les Fils de Lumières,6c  ***,Lead O/S,,"crux, jugs, crux. Very long",??/Aug/16,Ceuse (Céüse)
Wandered,HVS 5a ***,Lead O/S,"Mr Nichols, Hugh Simons, John McKenna",,17-Jul-16,Red Craig (Glen Clova)
Cauldron Crack,HVS 5a **,Lead O/S,"Mr Nichols, Hugh Simons, John McKenna",,17-Jul-16,Red Craig (Glen Clova)
Just Another Sparkler,E3 5c **,Lead O/S,"John McKenna, Mr Nichols, Hugh Simons",,17-Jul-16,Red Craig (Glen Clova)
Roman Candle,E4 6a ***,Lead O/S,"John McKenna, Mr Nichols, Hugh Simons",,17-Jul-16,Red Craig (Glen Clova)
Little Cenotaph,HVS 5b **,Lead Flash,"John McKenna, Hugh Simons",,16-Jul-16,Pass of Ballater
Black Custard,E1 5b ***,Lead Flash,"John McKenna, Hugh Simons",,16-Jul-16,Pass of Ballater
Pretzel Logic,E3 5c **,Lead O/S,"John McKenna, Hugh Simons",,16-Jul-16,Pass of Ballater
Rattlesnake,E3 6b ***,Lead G/U,"Hugh Simons, John McKenna","Hard move but solid gear for it, hard to place",16-Jul-16,Pass of Ballater
Air On A G String,7c+  **,Lead RP,andyinglis,"Should have got on first session but go first attempt 2nd session, followed by this into dangleberries finish (airstrop).
Fair amount of poo kicking around at the moment",07-Jul-16,Orchestra Cave
Airstrop,7c+  **,Lead RP,andyinglis,"good route, hard to clip the chains",07-Jul-16,Orchestra Cave
Aches in Provence (sit start),6c  ,Solo O/S,Mr Nichols,"Did with a pad, best way of doing it I recon, fall from most points would be fine",26-Jun-16,Boltsheugh
The Enemy Within,HVS 5b **,Solo O/S,Mr Nichols,juggy,26-Jun-16,Boltsheugh
The Dark Side,6c+  *,Lead RP,Mr Nichols,very contrived,26-Jun-16,Boltsheugh
Mo,6a+  ,Lead O/S,Mr Nichols,,26-Jun-16,Boltsheugh
Crossroads,6a+  ,Solo O/S,Mr Nichols,,26-Jun-16,Boltsheugh
The Pit,f7A  ***,Sent Flash,Seren,,05-Jun-16,Portlethen (Craigmaroinn)
Eagle Ridge (Summer),S  ***,AltLd O/S,Mr Nichols,great day out! few parts a bit damp,04-Jun-16,Lochnagar
Sticks 'n' Stones,7a+  ,Lead RP,Mr Nichols,weird beta,29-May-16,Cambus O'May Quarries
Tetris,6b+  *,Lead RP,,,15-May-16,Blantyre Towers
Kop-out,6b+  ,Lead O/S,,,15-May-16,Blantyre Towers
Pulpit Crack,HVS 5a **,Lead O/S,"Hugh Simons, DavidMcK",,12-May-16,Loudoun Hill
Epitaph Variation,E2 5c **,Lead O/S,"Hugh Simons, DavidMcK",,12-May-16,Loudoun Hill
The Belk,E1 5b ***,Lead O/S,"Hugh Simons, DavidMcK",,12-May-16,Loudoun Hill
Cave Crack,HVS 4c ***,Lead O/S,"Hugh Simons, DavidMcK",,12-May-16,Loudoun Hill
Dee's Crack,HVS 5a ***,Lead Flash,"DavidMcK, Hugh Simons",,12-May-16,Loudoun Hill
Pulpit Arête,S  ***,Solo O/S,"Hugh Simons, DavidMcK",,12-May-16,Loudoun Hill
Good Nicks,f6B  **,Sent rpt,,,11-May-16,Dumbarton Rock
Pongo,f7A  ***,Sent x,,,05-May-16,Dumbarton Rock
Mestugso,f7B  **,Sent x,,,20-Apr-16,Dumbarton Rock
Mestizo SS,f7A+  **,Sent x,,,16-Apr-16,Dumbarton Rock
Home Rule Low Traverse,f7A+  *,Sent x,,,31-Mar-16,Dumbarton Rock
Flesh for Fantasy,7c+  **,Lead RP,,1 session,20-Mar-16,Dumbuck
Torch Lite,M11  **,Lead rpt,,,12-Mar-16,Newtyle Quarry
Neil's Extension/Gorilla SS,f7B+  ***,Sent x,,"Was working last year then came back after training and felt good. Video below if you want beta
https://www.facebook.com/alistair.lee.96/videos/10208623607647595/",09-Mar-16,Dumbarton Rock
Ledge Route,II  ***,Solo O/S,,,05-Mar-16,Ben Nevis
Pot of Gold,V 6 ***,-,,"Hugh lead both pitches, very deep in pow pow. ",17-Jan-16,Cairn Gorm - Stob Coire an t-Sneachda
Fingers Ridge,IV 5 ***,-,,"got to lead fingers pitch, great fun! view and position were the best bit!",16-Jan-16,Cairn Gorm - Stob Coire an t-Sneachda
The Seam,IV 5 ***,-,,abbed in due to avalanche potential,???/2016,Cairn Gorm - Stob Coire an t-Sneachda
La Couleur du Vent,8a  ***,Lead dog,,crimpy. fun climbing.,???/2016,Ceuse (Céüse)
Invernookie,IV 5 ***,AltLd O/S,,,13-Dec-15,Cairn Gorm - Stob Coire an t-Sneachda
Honeypot,IV 6 **,AltLd O/S,,,12-Dec-15,Cairn Gorm - Stob Coire an t-Sneachda
Original Summer Route,IV 6 **,AltLd O/S,,,12-Dec-15,Cairn Gorm - Stob Coire an t-Sneachda
The Bludgeon,E1 5b ***,Lead O/S,,,22-Nov-15,Shepherd’s Crag
Picnic Sarcastic (ss),f7B  ***,Sent x,DavidMcK,,21-Nov-15,The Bowderstone
Picnic Sarcastic,f7A+  **,Sent x,DavidMcK,,21-Nov-15,The Bowderstone
Inaudible Vaudeville,f7B+  *,Sent x,DavidMcK,,21-Nov-15,The Bowderstone
Torch Lite,M11  **,Lead RP,,4th attempt,18-Oct-15,Newtyle Quarry
Fast and Furious,M10  ,Lead rpt,,,18-Oct-15,Newtyle Quarry
Torch Lite,M11  **,Lead rpt,,,18-Oct-15,Newtyle Quarry
Fast and Furious,M10  ,Lead RP,,,03-Oct-15,Newtyle Quarry
The Web,E2 5c **,Lead O/S,,,11-Sep-15,"Polldubh Crags, Glen Nevis"
Happy Hooker,M7  ,Lead RP,,,10-Sep-15,Newtyle Quarry
Marlina,7c  ***,Lead RP,DavidMcK,,03-Sep-15,"Dunkeld, Cave Crag"
High Performance,E3 6a **,Lead O/S,DavidMcK,,03-Sep-15,"Dunkeld, Cave Crag"
Uncertain Emotions,7b  ***,Lead RP,DavidMcK,"good climb, second go after working moves then clean again at end to clean route. ",24-Aug-15,Creag a' Bhancair
The Tanning Salon,7b  *,Lead RP,DavidMcK,"gets 7b in sport scotland, what up? feels more like 7a climbing",23-Aug-15,Dunglas
The Seam,7a+  **,Lead RP,DavidMcK,just a bit longer than the others,23-Aug-15,Dunglas
Airhead,7a  **,Lead RP,DavidMcK,"clean first time this year, decent climb",23-Aug-15,Dunglas
The Struggler,E3 6a **,Lead Flash,,,??/Aug/15,Limekilns
Velvet Glove,E4 6a ***,Lead Flash,,,??/Aug/15,Limekilns
Methods of Dance,E3 6a **,Lead O/S,,,??/Aug/15,Limekilns
Elgin's Crack,E2 5c ***,Lead O/S,,,??/Aug/15,Limekilns
Gobi Roof,E2 5c ***,Lead Flash,,,??/Aug/15,Cambusbarron West Quarry (aka Fourth Quarry)
Not Easy Contract,E1 5b **,Lead O/S,,,??/Aug/15,Cambusbarron West Quarry (aka Fourth Quarry)
Appliance of Violence,7b+  *,Lead RP,calumhicks,Done,22-Jul-15,Dumbarton Rock
Fogtown,7a  **,Lead RP,,,??/Jul/15,North Berwick Law
Law of Gravity (LH Start),7a+  ***,Lead RP,,"got first time trying it this year, count as a flash? probs not...",??/Jul/15,North Berwick Law
Law of the Flies,7a  **,Lead RP,,,??/Jul/15,North Berwick Law
Toto SS,f7A  ,Sent x,,,??/Jul/15,Dumbarton Rock
Mugsy (Ya Bass),f7A  ***,Sent x,,,??/Jul/15,Dumbarton Rock
Gorilla Hanging Start,f7A  ,Sent x,,,??/Jul/15,Dumbarton Rock
Mugsy Static,f7A+  ***,Sent x,,,??/Jul/15,Dumbarton Rock
Mestizo Traverse,f7B  **,Sent x,,,??/Jul/15,Dumbarton Rock
Mugsy Sit Start,f7B  **,Sent x,,,??/Jul/15,Dumbarton Rock
Bust My Chops LH,f7A  ***,Sent x,,,??/Jul/15,Dumbarton Rock
Shear Fear,E2 5c ***,Lead O/S,DavidMcK,,??/Jul/15,Ratho Quarry
Hamish Teddy's Excellent Adventure,7b+  **,Lead RP,DavidMcK,6th attempt,??/Jun/15,"Dunkeld, Cave Crag"
The Black Streak,E1 5c ***,AltLd O/S,,,??/Jun/15,Diabaig
Awaken,7c+  ***,Lead RP,DavidMcK,"cool climb, ",21-May-15,Dumbuck
The ticks ate all the midgies,7a  ***,Lead rpt,,,15-Apr-15,Moy Rock (Dingwall)
Pulling on Pebbles,7a+  **,Lead RP,DavidMcK,second go after putting draws in,15-Apr-15,Moy Rock (Dingwall)
The Whip SS,f6C  *,Sent,,,26-Sep-14,Dumbarton Rock
Alouette Arete,6a  **,Lead,,,22-Sep-14,Blantyre Towers
Arrol's Arete,6b  ***,Lead,,,22-Sep-14,Blantyre Towers
Orion Eliminate,6c+  **,Lead,,,22-Sep-14,Blantyre Towers
The Railings,f6B+  **,Sent x,,,11-Sep-14,Dumbarton Rock
Slap Happy,f7A  **,Sent,,"great climb, happy to finally get it",10-Sep-14,Dumbarton Rock
Imodium Crack,6a+  *,Lead RP,"DavidMcK, Adam Harris",,08-Sep-14,Dunglas
Negotiations with Isaac,6b  **,Lead RP,"DavidMcK, Adam Harris",,08-Sep-14,Dunglas
The Beef Monster RH,6c+  ***,Lead Flash,"DavidMcK, Adam Harris",,08-Sep-14,Dunglas
Airhead,7a  **,Lead dog,"DavidMcK, Adam Harris",where's the nearly onsight but too pumped to try again option?!?,08-Sep-14,Dunglas
Casanostra,6c+  *,Lead dnf,DavidMcK,"DON'T GO! Bolts are rusted, very vegetated and there's a wasp nest! i took many a sting to bring you this information!!",03-Sep-14,Dumbarton Rock
Abstract Art,6c+  *,Lead O/S,Adam Harris,"good route, interesting fun moves but easy climbing",03-Sep-14,Dumbarton Rock
Gorilla,f6B  ***,Sent x,Adam Harris,"good climb, once you stick the start holds the route's a breeze",02-Sep-14,Dumbarton Rock
Fighting off the Vultures,6a+  **,Lead O/S,DavidMcK,,27-Aug-14,Moy Rock (Dingwall)
The Old Man of Moy,6a+  *,Lead O/S,DavidMcK,,27-Aug-14,Moy Rock (Dingwall)
Little Teaser,6b+  ***,Lead dog,DavidMcK,,27-Aug-14,Moy Rock (Dingwall)
The ticks ate all the midgies,7a  ***,Lead dog,DavidMcK,,27-Aug-14,Moy Rock (Dingwall)
Original Route,VS 5a ***,AltLd O/S,calumhicks,"great climb, wanted to do it for ages!!",25-Aug-14,Old Man of Stoer
The Blue Men,f6C  ***,Sent O/S,,"great climb, easy for 6c",22-Aug-14,Reiff - Roinn a' Mhill
Earth Shaker (start),f6B  ***,Sent x,,,22-Aug-14,Reiff - Roinn a' Mhill
Mestizo,f6A  ***,Sent,,,??/Aug/14,Dumbarton Rock
M.G.C.,E2 5c ***,Lead Flash,,,26-Jul-14,Shepherd’s Crag
Fishers Folly,VS 4c ***,Lead Flash,,,26-Jul-14,Shepherd’s Crag
Kransic Crack Direct,HVS 5a ***,Lead Flash,,,26-Jul-14,Shepherd’s Crag
Chamonix,HS 4b **,Lead Flash,,,26-Jul-14,Shepherd’s Crag
Necktie,6b+  *,Lead RP,,,21-Jun-14,North Berwick Law
Darkness Falling,6a+  *,Lead O/S,,,21-Jun-14,North Berwick Law
I Fought the Law,f6C+  **,Sent x,,,21-Jun-14,North Berwick Law
Law of Gravity (LH Start),7a+  ***,Lead dog,,"need to get back to try again, not first sesh after a while off. great climb, recommended start, the hardest bit of the climb. Committing end",21-Jun-14,North Berwick Law
Law of Gravity LH (start only),f6B  **,Sent x,,,21-Jun-14,North Berwick Law
Law and Disorder,6a+  *,Lead O/S,,"powerful with good holds, ",21-Jun-14,North Berwick Law
Wrenched Soul,f6A  *,Sent,,,18-Jun-14,Agassiz Rock
Experiments in Procrastination,f6B  *,Sent,,,18-Jun-14,Agassiz Rock
Kamikaze,6c+  **,Lead rpt,,,12-Jun-14,Ratho Quarry
Kamikaze,6c+  **,Lead rpt,,,12-Jun-14,Ratho Quarry
Slow Strain,6b  ,Lead O/S,,,09-Jun-14,Ratho Quarry
Kamikaze,6c+  **,Lead dog,,clean attempt was called off due to rain,09-Jun-14,Ratho Quarry
Buzooka,7b+  **,Lead dnf,DavidMcK,,09-Jun-14,Ratho Quarry
Blue Tit's Nest Crack,f5  *,Sent Flash,,,11-Apr-14,Court Knowe Quarry
Layback Crack,f4  ,Sent Flash,,,11-Apr-14,Court Knowe Quarry
Mountain Climber Route,none 4c ,Sent Flash,,,11-Apr-14,Court Knowe Quarry
Blue Tit's Left Hand,f5  *,Sent Flash,,,11-Apr-14,Court Knowe Quarry
Blue Tit's Right Hand,f5  ,Sent Flash,,,11-Apr-14,Court Knowe Quarry
(Wally 2  - via bolts),6c  ,Lead O/S,,"powerful moves on easy holds, good fun but a bit short",???/2014,Ratho Quarry
Bampot Arete,f6B+  *,Sent x,,,???/2014,Dumbarton Rock
Bampot Traverse,f7A  **,Sent x,,,???/2014,Dumbarton Rock
